2.00E+03	3.7867E-21
4.00E+03	6.9792E-21
6.00E+03	9.9305E-21
8.00E+03	1.2694E-20
1.00E+04	1.5290E-20
1.20E+04	1.7728E-20
1.40E+04	2.0015E-20
1.60E+04	2.2157E-20
1.80E+04	2.4159E-20
2.00E+04	2.6025E-20
2.20E+04	2.7761E-20
2.40E+04	2.9373E-20
2.60E+04	3.0866E-20
2.80E+04	3.2245E-20
3.00E+04	3.3517E-20
3.20E+04	3.4687E-20
3.40E+04	3.5761E-20
3.60E+04	3.6745E-20
3.80E+04	3.7643E-20
4.00E+04	3.8462E-20
4.20E+04	3.9206E-20
4.40E+04	3.9880E-20
4.60E+04	4.0488E-20
4.80E+04	4.1036E-20
5.00E+04	4.1526E-20
5.20E+04	4.1964E-20
5.40E+04	4.2353E-20
5.60E+04	4.2695E-20
5.80E+04	4.2996E-20
6.00E+04	4.3256E-20
6.20E+04	4.3480E-20
6.40E+04	4.3671E-20
6.60E+04	4.3829E-20
6.80E+04	4.3959E-20
7.00E+04	4.4062E-20
7.20E+04	4.4140E-20
7.40E+04	4.4194E-20
7.60E+04	4.4228E-20
7.80E+04	4.4242E-20
8.00E+04	4.4238E-20
8.20E+04	4.4217E-20
8.40E+04	4.4180E-20
8.60E+04	4.4130E-20
8.80E+04	4.4066E-20
9.00E+04	4.3990E-20
9.20E+04	4.3904E-20
9.40E+04	4.3807E-20
9.60E+04	4.3701E-20
9.80E+04	4.3586E-20
1.00E+05	4.3464E-20
1.02E+05	4.3334E-20
1.04E+05	4.3198E-20
1.06E+05	4.3056E-20
1.08E+05	4.2909E-20
1.10E+05	4.2757E-20
1.12E+05	4.2601E-20
1.14E+05	4.2440E-20
1.16E+05	4.2276E-20
1.18E+05	4.2109E-20
1.20E+05	4.1939E-20
1.22E+05	4.1766E-20
1.24E+05	4.1591E-20
1.26E+05	4.1414E-20
1.28E+05	4.1235E-20
1.30E+05	4.1055E-20
1.32E+05	4.0874E-20
1.34E+05	4.0691E-20
1.36E+05	4.0508E-20
1.38E+05	4.0324E-20
1.40E+05	4.0140E-20
1.42E+05	3.9955E-20
1.44E+05	3.9769E-20
1.46E+05	3.9584E-20
1.48E+05	3.9399E-20
1.50E+05	3.9214E-20
1.52E+05	3.9029E-20
1.54E+05	3.8844E-20
1.56E+05	3.8660E-20
1.58E+05	3.8476E-20
1.60E+05	3.8292E-20
1.62E+05	3.8110E-20
1.64E+05	3.7928E-20
1.66E+05	3.7746E-20
1.68E+05	3.7566E-20
1.70E+05	3.7386E-20
1.72E+05	3.7207E-20
1.74E+05	3.7029E-20
1.76E+05	3.6852E-20
1.78E+05	3.6676E-20
1.80E+05	3.6501E-20
1.82E+05	3.6327E-20
1.84E+05	3.6154E-20
1.86E+05	3.5982E-20
1.88E+05	3.5811E-20
1.90E+05	3.5641E-20
1.92E+05	3.5473E-20
1.94E+05	3.5305E-20
1.96E+05	3.5139E-20
1.98E+05	3.4974E-20
2.00E+05	3.4810E-20
2.02E+05	3.4647E-20
2.04E+05	3.4485E-20
2.06E+05	3.4325E-20
2.08E+05	3.4166E-20
2.10E+05	3.4008E-20
2.12E+05	3.3851E-20
2.14E+05	3.3695E-20
2.16E+05	3.3540E-20
2.18E+05	3.3387E-20
2.20E+05	3.3235E-20
2.22E+05	3.3084E-20
2.24E+05	3.2934E-20
2.26E+05	3.2786E-20
2.28E+05	3.2638E-20
2.30E+05	3.2492E-20
2.32E+05	3.2347E-20
2.34E+05	3.2203E-20
2.36E+05	3.2060E-20
2.38E+05	3.1918E-20
2.40E+05	3.1778E-20
2.42E+05	3.1639E-20
2.44E+05	3.1500E-20
